title,allpoints_number,price,description,specifications,oem_names_numbers
32-1093 - PUMP SEAL,32-1093,88.42,"
PUMP SEAL, 1"" SHAFT, MOTORS: 1-1/2, 2, 3, HP.
BETWEEN IMPELLER & PUMP MOTOR.
STERO DISHWASHER 368, 370, SC- 1 THRU SC-9, SCT,
STW, SYSTEMATIC, UTENSIL.
","


Ship Weight : 0.25 lbs.

","{'Stero': ['0P-151697', '0P-571697', 'P15-1697', 'P151697', 'P57-1697', 'P571697']}"
32-1094 - PUMP SEAL,32-1094,37.38,"
PUMP SEAL, 5/8"" OD
VULCAN DISHWASHER
","


Ship Weight : 0.1 lbs.

","{'Hobart': ['00-104329', '00-114696', '00-906410', '104329', '106410', '114696', '906410'], 'Vulcan Hart': ['00-906410', '106410', '906410']}"
"32-1105 - DOOR GASKET 28"" X 11.75""",32-1105,198.26,"
DOOR GASKET,
[ 28"" X 11.75"" ] [RUBBER ] [ TYPE C]  [ ] BLACK  ]
[ MOUNT] 8EA 7.5"" MT HOLE CTRS.
MARKET FORGE STEAMER A, A-1
SOUTHBEND STEAMER BOILER CG-(24S,317S,325S), CSC-(24S,
36S), EC-(2,3S), EDA-2S, EHD-2S, GC-(2S,3S), GDA-(2,2S)
GHD-2S, SC-(2S,3S), SCDA-(2, 2S), SCHD-2S.
","


Ship Weight : 2.3 lbs.

","{'CROWN STEAM': ['8-1178'], 'Hobart': ['00-842936', '841749', '842936'], 'Market Forge': ['10-0433', 'S10-0433'], 'Southbend': ['8-1178'], 'Vulcan Hart': ['00-842936', '841749', '842936']}"
"32-1104 - DOOR GASKET APPROX. 14"" D.,  44"" CIR",32-1104,109.24,"
GASKET
[ APPROX. 14"" D.,  44"" CIRCUMFRENCE ] [RUBBER ] [ TYPE C]  [
] GRAY  ]  [ PROFILE MOUNT] CIRCLE
MARKET FORGE
STEAMER	3100, JET (B), ST-AG(B,C,D,E, F), ST-AS(D,E,F,G,H),
ST-E(B,U,UT), STEAM-IT.
","


Ship Weight : 0.4 lbs.

","{'Market Forge': ['10-2666', 'S10-2666']}"
"32-1118 - HOUSING GASKET 3-1/16"" X 2-7/16""",32-1118,3.43,"
FDO THERMOSTAT HOUSING GASKET,
[ 3-1/16"" X 2-7/16"" ] [FIBRE ] [ GRAY ]
SOLID STATE POCKET GAS DETECTOR # 85-1101
TEFLON THREAD SEALING TAPE, # 85-1109 (1/2"" X 520"")
TEFLON SEALING ""PINK"" H/D TAPE # 85-1130 (1/2"" X 260"")
""GRIPP"" HEAVT DUTY THREAD SEALER 1/2 PINT , # 85-1101
PTFE HEAVY DUTY THREAD SEALER 1/4 PINT # 85-1136
","


Ship Weight : 0.1 lbs.

",{}
"MARKET FORGE - 91-6203 - GASKET 1"" D",32-1119,54.62,"
STEAM TRAP LOCKNUT GASKET, [ 1"" DIA. ] [FIBRE ] [ TYPE C]
] GREEN  ] [ MOUNT] CIRCLE
MARKET FORGE STEAMER, STEAM-IT COOKERS
","


Ship Weight : 0.1 lbs.

","{'Market Forge': ['91-6203', '916203']}"
"32-1120 - SILICONE DOOR GASKET 80""",32-1120,90.38,"
GASKET
[ 80"" ] [SILICONE RUBBER ] [ TYPE C]  [ ] GRAY  ]
[ MOUNT]CLOSED LOOP
CLEVELAND
STEAMER	J, PGM.
","


Ship Weight : 1. lbs.

","{'Cleveland': ['07110', '07136', '7110', '7136']}"
32-1122 - SILICONE DOOR GASKET,32-1122,56.36,"
[ 74-1/2"" ] [RUBBER ] [ TYPE C]  [ ] GRAY  ]
[MOUNT]CLOSED LOOP
CLEVELAND
STEAMER	PRESSURE STEAMERS: C, F, K.
","


Ship Weight : 0.9 lbs.

","{'Cleveland': ['07112', '07134', '7112', '7134']}"
"32-1128 - HAND HOLE GASKET 7.25"" X 5.75""",32-1128,44.00,"
HAND HOLE COVER GASKET, [ 7.25"" X 5.75"" ] [RUBBER ]
[ BLACK  ] [ MOUNT]OVULAR
FOR HAND HOLE COVER # 24-1009
VULCAN STEAMERS SQ-36, SERIES VL, VS
VSX24D, VSX24E, VSX24G, VSX36D, VSX36E, VSX36G, VSX36R,
VSX42DT, VSX42ET, VSX42GT, VSX42RT
","


Ship Weight : 0.2 lbs.

","{'Hobart': ['00-880023', '80023', '880023'], 'Vulcan Hart': ['00-880023', '80023', '880023']}"
"32-1129 - DOOR GASKET 15-3/4"" X 11-1/2""",32-1129,165.92,"
DOOR GASKET
[ 15 3/4"" X 11-1/2"" ] [RUBBER ] [ TYPE C]  [ ] GREY ]
CLEVELAND
STEAMER	CONVECTION STEAMER: 6CEM,6CGM,
21-CET-8, 24-CGM-200, 36-CGM-300, C, CET-5, CKGM, D.
","


Ship Weight : 1.1 lbs.

","{'Cleveland': ['07138', '07138']}"
"32-1139 - GASKET 2-1/8"" X 1-15/16""",32-1139,2.96,"
BJ THRMOSTAT WIDE FLANGE GASKET, SOLD EACH.
[ 1-5/8"" X 15/16"" ] [FIBRE ] [ BLACK ]
[ MOUNT 1-1/8"" HOLE CTRS ]
SOLID STATE POCKET GAS DETECTOR # 85-1101
TEFLON THREAD SEALING TAPE, # 85-1109 (1/2"" X 520"")
TEFLON SEALING ""PINK"" H/D TAPE # 85-1130 (1/2"" X 260"")
""GRIPP"" HEAVT DUTY THREAD SEALER 1/2 PINT , # 85-1101
PTFE HEAVY DUTY THREAD SEALER 1/4 PINT # 85-1136
","


Ship Weight : 0.1 lbs.

",{}
32-1147 - PUMP SEAL,32-1147,95.29,"
PUMP SEAL 5/8"" DIA.
ADAMATION DISWASHER USED ON ""WORTHINGTON"" PUMPS ONLY.
CHAMPION DISWASHER SERIES: L33, FW60
JACKSON DISWASHER JPX 300
","


Ship Weight : 0.25 lbs.

","{'Adamation': ['55-6301-350'], 'Champion': ['106467'], 'Insinger': ['D-2534', 'D2-534', 'D2534'], 'Jackson': ['05330-002-34-22', '5330-002-34-22', '53300023422']}"
32-1161 - PUMP SEAL,32-1161,60.02,"
PUMP SEAL, 5/8"" DIA.
JACKSON DISHWASHER JP24
STERO DISHWASHER SC-1 THRU SC-9, SCT, SGW-H-M, SGW-M,
SYSTEMATIC. ""PRICE PUMP""
","


Ship Weight : 0.25 lbs.

","{'Jackson': ['05330-002-87-16', '05330-011-44-06', '114406', '5330-002-06-21', '5330-002-87-16', '5330-011-44-06', '53300020621', '53300028716', '53300114406'], 'Stero': ['0P-151030', '0P-571030', 'P15-1030', 'P151030', 'P57-1030', 'P571030']}"
"32-1162 - DOOR GASKET 30.5"" X 24""",32-1162,160.00,"
DOOR GASKET, [ 30.5"" X 24"" ] [RUBBER ] [ TYPE C] [ GRAY]
[ MOUNT 3.75"" CTRS MOUNT HOLES THROUGHOUT.
VULCAN OVEN SG (2,10,22), GT88
","


Ship Weight : 0.9 lbs.

","{'Hobart': ['00-411688-00001', '111688-1', '411688-00001', '411688-1'], 'Vulcan Hart': ['00-411688-00001', '111688-1', '411688-00001', '411688-1', 'VH111688-1', 'VH411688-1']}"
"32-1163 - DOOR GASKET 26.25"" & 75.75"" PIECES",32-1163,150.16,"
2 PIECE DOOR GASKET KIT, [ 26.25"" & 75.75"" PIECES ]
[METAL & WOVEN ] [ TYPE C]  [ SILVER/GRAY  ]
[ PROFILE ROUND AND OFF-SET ] [CLIPS MOUNT]
VULCAN OVEN RETRO FIT KIT SERIES SG7800
","


Ship Weight : 0.6 lbs.

","{'Hobart': ['00-411688-00002', '00-418557', '00-419657-000G1', '111688-2', '411688-00002', '411688-2', '418557', '419657-000G1', '419657-G1'], 'Vulcan Hart': ['00-411688-00002', '00-418557', '00-419657-000G1', '111688-2', '411688-00002', '411688-2', '418557', '419657-000G1', '419657-G1', '419657G1', 'VH111688-2', 'VH411688-2', 'VH418557', 'VH419657G1']}"
"32-1165 - BURNER GASKET 2-11/16"" x 1-3/4""",32-1165,5.74,"
BURNER HEAD GASKET
[ 2-11/16"" x 1-3/4"" ] [FIBRE ] [ TYPE C]  [ ] GRAY  ]
2"" CTRS MOUNT HOLES.
AMERICAN RANGE
GARLAND
VULCAN
WOLF
SOLID STATE POCKET GAS DETECTOR # 85-1101
TEFLON THREAD SEALING TAPE, # 85-1109 (1/2"" X 520"")
TEFLON SEALING ""PINK"" H/D TAPE # 85-1130 (1/2"" X 260"")
""GRIPP"" HEAVT DUTY THREAD SEALER 1/2 PINT , # 85-1101
PTFE HEAVY DUTY THREAD SEALER 1/4 PINT # 85-1136
","


Ship Weight : 0.1 lbs.

","{'American Range': ['10461', 'A14039'], 'Dynamic Cooking Systems': ['14000'], 'Garland': ['224005-1'], 'Hobart': ['00-714910', '14910', '19269', '20045', '714910', '719269'], 'Vulcan Hart': ['00-714910', '14910', '19269', '20045', '714910', '719269']}"
"HATCO - 02.11.012.00 - FLANGE GASKET 2.75"" X 2.75""",32-1166,2.00,"
2-1/2"" SQUARE FLANGE GASKET, FIBER,
[ 2.685"" X 2.685"" ] [FIBRE ] [ TYPE C]  [ ] GREEN  ]  [
PROFILE  ] [ MOUNT] 1.75"" MOUNT HOLE CTRS.
GARLAND BOILERS
HATCO BOOSTER ELEMENTS
","


Ship Weight : 0.1 lbs.

","{'Hatco': ['02-11-012', '02-11-012-00', '02.11.012', '02.11.012.00', '2-11-012', '2-11-012-00', '2.11.012', '2.11.012.00', 'HT02-11-012', 'HT02-11-012-00', 'HT02.11.012', 'HT02.11.012.00', 'HT2-11-012', 'HT2-11-012-00', 'HT2.11.012', 'HT2.11.012.00']}"
32-1169 - TOP GASKET,32-1169,1.84,"
T&S TOP GASKET FOR HEAVY DUTY FAUCETS
","


Ship Weight : 0.02 lbs.

",{}
32-1198 - HAND HOLE GASKET,32-1198,30.54,"
HAND HOLE COVER GASKET,
[ 4-3/4"" X 6-1/8"" ] [RUBBER ] [ TYPE C]  [ ] BLACK  ]
[ MOUNT] OVULAR
FOR HAND HOLE COVER # 24-1165
MARKET FORGE STEAMER/BOILER M24G100A-4SP, M24G200A-4SP,
M36G100A-4SP, M36G200A-4SP, M36G300A-4SP
","


Ship Weight : 0.3 lbs.

","{'Market Forge': ['08-4415', '8-4415']}"
32-1200 - DOOR GASKET,32-1200,15.00,"
DOOR GASKET, PER FT.
[RUBBER  ] [ TYPE C]  [ GRAY  ]
1.200th WIDE .310 HIGH AND THE FLAT IS .080
ALTO_SHAAM COOK & HOLD OVENS
ALTO SHAAM RECOMMENDS 10FT PER DOOR
","


Ship Weight : 0.09 lbs.

","{'Alto-Shaam': ['GS-2398'], 'Electrolux': ['0KA949']}"
32-1211 - DOOR GASKET (PER FT),32-1211,4.20,"
DOOR GASKET, SOLD PER FT, 3/4"" WIDE X 9/16"" HIGH
COMPRESSION GASKET SCREW MOUNTED
SILICONE RUBBER - COLOR: LIGHT GREY, DUROMETER: 60+/-5,
TENSILE PSI: 675, ELONGATION %: 225, TEAR DIE B PPI: 60,
BRITTLE POINT: -100 DEG F TO 450 DEG F.
FOR CORNER SECTIONS USE # 32-1221 ( SLIPS INSIDE GASKET
TO FORM THE CORNER )
CRES-COR INSULATED FOOD WARMER CABINETS
","


Ship Weight : 0.2 lbs.

",{}
"32-1208 - FLANGE GASKET 3"" X 3""",32-1208,8.99,"
GASKET, 3"" SQUARE FLANGE
[ 3"" X 3"" ] [RUBBER ] [  BLACK  ]
MOUNT 4 HOLES, 2.25"" MOUNT HOLE CTRS
CHAMPION DISHWASHER
CLEVELAND STEAMERS
JACKSON DISHWASHER 150, JP24
","


Ship Weight : 0.1 lbs.

","{'Champion': ['108345'], 'Cleveland': ['07128', '7128'], 'Jackson': ['05330-011-47-79', '5330-011-47-79', '53300114779']}"
32-1210 - SEAL KIT,32-1210,77.75,"
PACKING SEAL KIT, KIT CONSISTS OF: (2)WASHER, (1)SPRING &
(1)PACKING. TWO NEEDED PER KETTLE
GROEN TRUNNION KETTLE
MARKET FORGE KETTLE MT-5, MT5-T5
","


Ship Weight : 0.1 lbs.

","{'Groen': ['002019&002025&002033', '2019&2025&2033', 'Z002019&002025&002033'], 'Market Forge': ['10-5337', 'S10-5337']}"
"32-1216 - GASKET SHEET 6"" X 6""",32-1216,2.88,"
RUBBER GASKET SHEET
[ 6"" X 6"" X 1/8"" ] [RUBBER ] [ ORANGE  ]
190F HEAT TOLARANCE
","


Ship Weight : 0.2 lbs.

",{}
32-1220 - VALVE GASKET,32-1220,48.12,"
VALVE GASKET,
FOR SUPPLY & EXHAUST VALVE # 56-1184
MARKET FORGE STEAMER/BOILER MODEL 2 A-PLUS, A-PLUS STEAM
COOKER, Model 2A Steam Cooker, Model 3A Steam Cooker, Model
4A Steam Cooker
","


Ship Weight : 0.1 lbs.

","{'Market Forge': ['10-2696', '91-6204']}"
CRES COR - 0861 155 1 - WIPER STRIP,32-1222,16.00,"
WIPER STRIP
25-3/4"" LONG X 1-1/2"" WIDE, GRAY, 5/64"" THICK
CRES COR WARMERS WITH DOUBLE DOORS
","


Ship Weight : 0.1 lbs.

","{'Cres Cor': ['0861 155 1', '0861-155-1', '08611551']}"
"32-1238 - Kason® 401SA6060084,EASI MOUNTÂ© VINYL STRIP",32-1238,31.20,"
EASIMOUNT STRIP CURTAIN
REPLACEMENT STRIP
6"" x 84""
  
KASON® Easimount Strip Curtain  
1-Year Manufacturer's Warranty
Warranty
","


Ship Weight : 1.8 lbs.

","{'Kason': ['401SA6060084', '402SA6060084']}"
32-1239 - Kason® - 401SA8080090 SINGLE STRIP,32-1239,45.10,"
EASIMOUNT STRIP CURTAIN
REPLACEMENT STRIP FOR COOLERS ONLY
8"" X 90""
  
KASON® Easimount Strip Curtain  
1-Year Manufacturer's Warranty
Warranty
","


Ship Weight : 2.9 lbs.

","{'Kason': ['401SA8080090', '401SA8080890', '402SA8080090']}"
"32-1250 - UNION GASKET 1.25"" D",32-1250,4.00,"
UNION GASKET, [ 1.25"" ID. 1 3/4"" OD ] 3/32"" THICK
[RUBBER ] [ TYPE C]  BLACK
HATCO BOOSTER FR, 3CS
","


Ship Weight : 0.1 lbs.

","{'Hatco': ['05-06-009', '05-06-009-00', '05.06.009', '05.06.009.00']}"
32-1251 - RUBBER STOPPER,32-1251,6.00,"
RUBBER STOPPER, 1 3/8"" TO 1 1/2"" AT TOP,
HATCO BOOSTER FR, 3CS
","


Ship Weight : 0.1 lbs.

","{'Hatco': ['05-06-026', '05-06-026-00', '05.06.026', '05.06.026.00']}"
"32-1252 - GASKET 1-5/8"" D.",32-1252,2.20,"
ELEMENT GASKET
[ 1-5/8"" DIA. OD ] 1-5/16"" DIA ID, 1/2"" LONG, [ RUBBER ]
BLACK, CIRCLE
HATCO WARMER	SERIES: 3CS, FR.
","


Ship Weight : 0.1 lbs.

","{'Cecilware': ['M018A', 'M018C'], 'Grindmaster': ['M018A', 'M018C'], 'Hatco': ['05-06-005', '05-06-005-00', '05.06.005', '05.06.005.00']}"
32-1253 - PUMP SEAL,32-1253,99.36,"
PUMP SEAL, .612"" ID ON SPRING ASSEMBLY,
1.455"" OD ON BLACK SEAL
CHAMPION DISHWASHER
NEW STYLE JET PUMPS IDENTIFIED BY RUBBER HOSE CONNECTION
","


Ship Weight : 0.25 lbs.

","{'Champion': ['109946', '111111']}"
32-1254 - SILICONE TUBING (FT),32-1254,28.85,"
NSF APPROVED
"" SILICON HOSE, MAX TEMP = 500 DEGREE""
1/2"" ID X 5/8"" OD
HOSE CLAMP  # 85-1000
GROEN
STEAMER	SERIES: HYPERSTEAM
#4 SS HOSE CLAMP 7/32"" TO 5/8"" # 85-1053
#6 SS HOSE CLAMP 3/8"" TO 7/8"" # 85-1000
#10 SS HOSE CLAMP 9/16"" TO 1-1/4"" # 85-1056
#.. SS HOSE CLAMP 11/16"" TO 1-1/2"" # 85-1267
#20 SS HOSE CLAMP 3/4"" TO 1-3/4"" # 85-1002
#.. SS HOSE CLAMP 1-5-16"" TO 2-1/8"" # 85-1268
HOSE/PLASTIC PIPE CUTTER # 72-1183
","


Ship Weight : 0.1 lbs.

","{'Groen': ['071275', '080631', '085149', '090741', '096806', '099911', '099912', '099913', '099914', '106584', '110887A', '110887B', '110887F', '505100', '505100 INCH', '71275', '80631', '90741', '96806', '99911', '99912', '99913', '99914', 'Z071275', 'Z080631', 'Z085149', 'Z090741', 'Z096806', 'Z099911', 'Z099912', 'Z099913', 'Z099914']}"
"32-1259 - GASKET 2-7/8"" X 2-7/8""",32-1259,7.96,"
ELEMENT FLANGE GASKET
[ 2-7/8"" X 2-7/8"" ] [FIBRE ][ GREEN ]
4 HOLES, 2"" CTRS MOUNT HOLES
STERO DISHWASHER SC-1 THRU SC-9, SD2RA, SDRA, SDRA-PKG,
SGW-H-M, SGW-M,	STBUW, STC, STPC, STPCW, SYSTEMATIC,
UTENSIL.
","


Ship Weight : 0.1 lbs.

","{'Stero': ['0A-571114', 'A57-1114', 'A571114', 'SOA57-1114']}"
"STAR MFG - 2I-70147 - GASKET 5-5/8"" D",32-1260,3.10,"
RUBBER GASKET
[ 5-5/8"" DIA ] [RUBBER ] [ TYPE C]  [ ] WHITE  ]
BLOOMRFIELD
","


Ship Weight : 0.1 lbs.

","{'Bloomfield': ['2I-70147', '2I70147', '8043-12', 'BLM2I70147', 'BLM8043-12'], 'Star Mfg': ['2I-70147', 'WS-8043-12'], 'Vollrath/Idea-Medalie': ['8043-12'], 'Wells': ['2I-70147']}"
"32-1261 - GASKET 2.5"" D. X .5"" WIDE",32-1261,1.33,"
SPRAYHEAD GASKET,
[ 2.5"" D. X .5"" WIDE ] [RUBBER ] [ TYPE C]  [ ] WHITE  ]
[ PROFILE  ] [ MOUNT  CIRCLE
BLOOMFIELD COFFEE BREWER 8716
","


Ship Weight : 0.01 lbs.

","{'Blodgett': ['2I-70139'], 'Bloomfield': ['2I-70139', '2I70139', '8543-42', 'BLM2I-70139', 'BLM2I70139', 'BLM8543-42'], 'Star Mfg': ['-2I-70139', '-WS-8543-42', '2I-70139', '2I70139', 'WS-8543-42'], 'Vollrath/Idea-Medalie': ['8543-42'], 'Wells': ['2I-70139']}"
"32-1270 - GASKET .75"" D.",32-1270,2.00,"
ELEMENT GASKET, TANK HEATER
[ .75"" D. ] [FIBRE ] [ TYPE C]  [ TAN  ] [ MOUNT]CIRCLE
BUNN-O-MATIC COFFEE BREWER CWTF, F
","


Ship Weight : 0.1 lbs.

","{'Bunn': ['00943-0000', '00943.0000', '0943.0000', '943', '943-0000', '943.0000', 'BU00943-0000', 'BU00943.0000', 'BU0943.0000', 'BU943', 'BU943-0000', 'BU943.0000']}"
"32-1271 - GASKET 7"" D",32-1271,6.30,"
TANK LID GASKET, 7""OD X 5-3/4"" ID, 8 HOLES, SILICONE,
BUNN-O-MATIC
COFFEE BREWERS: C12, OL15(BEFORE S/N 9475),
OL20(BEFORE S/N 28290), OL35(BEFORE S/N 12461),
OT15(AFTER S/N 1901), OT20(AFTER S/N 28701),
OT35(AFTER S/N 7901).
SERIES: BL, BT, C, CG, CRTF, CT, CTF, CTFG, CTG, CW,
CWAPS, CWG, CWT, CWTAPS, CWTF, CWTFAPS, CWTFCOMP,
CWTFG, CWTFTS, CWTG, CWTS, CWTTS, CWTWIN, F, FL, FWR,
RL(BEFORE S/N 137510), RT(AFTER S/N 81501), RTF,
SYSTEM II(1.6 GAL), TC, TCF, TW, TW12, TWC, TWCF,
TWF, TWF12, VLPF, VP17, VPCA, VPCAF, VPCP, VPR, VPS,
VPSF. COFFEE URNS: UCB.
TEA BREWER: EASY-T, TU3Q. HOT WATER HW2.
NEWCO
","


Ship Weight : 0.1 lbs.

","{'Bunn': ['04221.0000', '4221', '4221-0000', 'BU04221.0000', 'BU4221-0000'], 'Newco': ['704221']}"
32-1281 - VALVE WITH O-RING ASSY,32-1281,65.82,"
DISPENSER VALVE W/ O-RING, 3-3/4"" LONG
CRATHCO/GRINDMASTER
","


Ship Weight : 0.8 lbs.

","{'Cecilware': ['1010A'], 'Grindmaster': ['1010A']}"
32-1303 - SILICONE TUBING (PER FT),32-1303,6.06,"
CLEAR SILICONE TUBING, 5/16"" ID X 9/16"" OD, BY THE FOOT
CURTIS COFFEE
#4 SS HOSE CLAMP 7/32"" TO 5/8"" # 85-1053
#6 SS HOSE CLAMP 3/8"" TO 7/8"" # 85-1000
#10 SS HOSE CLAMP 9/16"" TO 1-1/4"" # 85-1056
#.. SS HOSE CLAMP 11/16"" TO 1-1/2"" # 85-1267
#20 SS HOSE CLAMP 3/4"" TO 1-3/4"" # 85-1002
#.. SS HOSE CLAMP 1-5-16"" TO 2-1/8"" # 85-1268
HOSE/PLASTIC PIPE CUTTER # 72-1183
","


Ship Weight : 0.1 lbs.

",{'Curtis': ['WC-5310']}
32-1306 - LID GASKET,32-1306,150.70,"
There's no product description on-file for this part.
","


Ship Weight : 1.7 lbs.

",{'Henny Penny': ['16120']}
32-1308 - SEAL,32-1308,71.20,"
PUMP SEAL KIT
HENNY PENNY FRYER 500, 561, 600, OE/OG- 301,302,303
","


Ship Weight : 0.3 lbs.

",{'Henny Penny': ['17476']}
32-1309 - HOSE,32-1309,921.00,"
HI-TEMP FILTER HOSE 23"" W/ STREET ELBOW AND
MALE QUICK CONNECT FITTING.
20"" HOSE  W/ 3/8"" MPT RIGID ENDS.
PITCO FRYER BF14, E12, E14, E14B, E14X, E18, E18B, E7, E7B
","


Ship Weight : 1.3 lbs.

","{'Hunter': ['HF05023'], 'Pitco': ['54994', 'B6602401', 'B6602401-C', 'B6602401C', 'PT54994', 'PTB6602401', 'PTB6602401-C', 'PTB6602401C', 'PTB7406402']}"
32-1310 - HOSE,32-1310,528.51,"
5' X 3/8"" MPT X 1/2"" MPT
HI-TEMP HOSES for fryer filter grease hose
and for hot water hose.
NSF APPROVED.
-95 degrees to 485 degrees f.
295 PSI MAXIMUM WORKING PRESSURE.
685 psi burst pressure.
HOSE PER FT PLUS 1"" PER FITTING X 2 = 2"" T0 ADD FOR
TOTAL LENGTH
QUICK DISCONNECTS:
3/8"" MALE, DEAN, FRYMASTER, PITCO A3795, W-957, # 262792
3/8"" FEMALE, DEAN, FRYMASTER, PITCO A3383, W-598,# 262576
1/2"" MALE, DEAN, W-611, # 263625
1/2"" FEMALE, DEAN W-610, # 263627
","


Ship Weight : 2.5 lbs.

","{'Frymaster': ['1061428', '55210', '55453615', '810-2113', '8102113'], 'Hunter': ['HF05008']}"
32-1311 - GASKET (PER FT),32-1311,27.27,"
OVEN DOOR GASKET, PER FT. TEMP 500 F,
GRAY FIBERGLASS CLOTH, 7/8"" WIDE W/ 3/8"" BEAD,
HAS SPRING IN ROUND COMPRESSION SEAL.
GARLAND
SOUTHBEND CONVECTION OVEN 300, 1300, 1400
ALL W/ ""CO"" PREFIX
","


Ship Weight : 0.1 lbs.

","{'Garland': ['1304213', '1304214', '1304217', '1581600', '1581601', '1581602', '1581603', 'G03269R', 'GLG03269R']}"
"32-1312 - BURNER GASKET 3-5/16"" X 1-1/8""",32-1312,9.89,"
BURNER GASKET
[ 3-5/16"" X 1-1/8"" ] [FIBRE ] [ TYPE C]  [ GREEN  ]
[ 2.5"" CTR MOUNT HOLES ]
JADE GRILL JGM, JGT
SOLID STATE POCKET GAS DETECTOR # 85-1101
TEFLON THREAD SEALING TAPE, # 85-1109 (1/2"" X 520"")
TEFLON SEALING ""PINK"" H/D TAPE # 85-1130 (1/2"" X 260"")
""GRIPP"" HEAVT DUTY THREAD SEALER 1/2 PINT , # 85-1101
PTFE HEAVY DUTY THREAD SEALER 1/4 PINT # 85-1136
","


Ship Weight : 0.1 lbs.

","{'Jade Range': ['30-226', '300-226-000', '300226000', '3022600000', '3022600100']}"
"32-1316 - GASKET 18"" X 15.75""",32-1316,138.01,"
DOOR GASKET
[ 18"" X 15.75"" ] [RUBBER ] [ TYPE C]  [ ] GRAY  ]
CLEVELAND
STEAMER	CONVECTION STEAMER: 21-CET-16, 24-CGA-10,
24-CGP-10DC, 10 PAN UNITS. 24CDP10 1SCE
","


Ship Weight : 1.2 lbs.

",{'Cleveland': ['CLE104026']}
